"","player","pitch_type","year","rank","perc","sim_player"
"300",669456,"FF","2022","first","97.9702837355894",643290
"301",656232,"FF","2021","first","94.9450175672283",659275
"302",451532,"FF","2015","first","96.8303177421628",642545
"303",605143,"FF","2018","first","94.6800173356794",650633
"304",605143,"FF","2019","first","94.1477286067448",650633
"305",621112,"FF","2022","first","95.572955118372",665871
"306",594760,"FF","2016","first","95.1765270735068",621295
"307",430599,"FF","2015","first","94.8132988990062",642545
"308",430599,"FF","2016","first","95.2828116447031",656818
"309",430599,"FF","2017","first","94.928670090504",621112
"310",518468,"FF","2015","first","96.4075361935084",677651
"311",518468,"FF","2016","first","95.7814802686582",677651
"312",460283,"FF","2017","first","94.8067295743347",518516
"313",460283,"FF","2018","first","94.8551167097939",518516
"314",460283,"FF","2019","first","94.073197740987",518516
"315",671790,"FF","2019","first","97.85800936986",675921
"316",502211,"FF","2015","first","91.8112467983904",668676
"317",502211,"FF","2016","first","94.9841013744217",425794
"318",502211,"FF","2017","first","93.6549221854927",543475
"319",570810,"FF","2017","first","95.7000113969927",675921
"320",517448,"FF","2016","first","95.5165329123149",572193
"321",641386,"FF","2021","first","97.9056991178617",666142
"322",621199,"FF","2016","first","93.8979029626988",621112
"323",621199,"FF","2019","first","93.8794965972262",608665
"324",502202,"FF","2015","first","96.1311148409817",605194
"325",502202,"FF","2016","first","95.0953344519999",607259
"326",502202,"FF","2017","first","95.0804941254801",663485
"327",502202,"FF","2018","first","94.7119168382114",592346
"328",502202,"FF","2019","first","93.3506416649472",663485
"329",502202,"FF","2021","first","96.8858866714058",607259
"330",502202,"FF","2022","first","96.2760188242703",607259
"331",571510,"FF","2015","first","95.3726864971336",666142
"332",571510,"FF","2016","first","95.4474762684221",592741
"333",571510,"FF","2017","first","96.7776785902404",641778
"334",571510,"FF","2018","first","96.2129031233274",593958
"335",571510,"FF","2019","first","95.0822877817743",676714
"336",571510,"FF","2021","first","97.141050075933",656354
"337",430641,"FF","2015","first","95.1423962072124",570666
"338",430641,"FF","2016","first","95.2420726206379",571800
"339",430641,"FF","2017","first","97.6137978620664",606303
"340",430641,"FF","2018","first","95.547852341145",592346
"341",542960,"FF","2015","first","95.5986301640115",676534
"342",542960,"FF","2016","first","95.6924511147588",676534
"343",542960,"FF","2017","first","95.4279797692472",606303
"344",542960,"FF","2018","first","94.1994339596385",570666
"345",542960,"FF","2019","first","93.9083459559808",519326
"346",542960,"FF","2021","first","96.432069802943",571670
"347",611093,"FF","2015","first","97.0351963432523",624522
"348",611093,"FF","2016","first","96.7573545197261",592804
"349",611093,"FF","2017","first","94.4332993784592",573186
"350",611093,"FF","2018","first","95.0127914161059",670036
"351",607473,"FF","2017","first","94.5086454093141",458681
"352",607473,"FF","2018","first","94.225789467231",518876
"353",680694,"FF","2022","first","95.1943479200339",605218
"354",605151,"FF","2015","first","95.8049180515733",660730
"355",605151,"FF","2016","first","96.4414218081208",660730
"356",605151,"FF","2017","first","97.3745904608691",665795
"357",605151,"FF","2018","first","97.2563047732274",656605
"358",605151,"FF","2019","first","96.9399115330509",665795
"359",605151,"FF","2021","first","98.3685622457784",675921
"360",572728,"FF","2017","first","96.5712018328109",663485
"361",666374,"FF","2022","first","96.8693500185672",678394
