"","player","pitch_type","year","rank","perc","sim_player"
"518",446399,"FF","2016","first","95.963465044231",571893
"519",446399,"FF","2017","first","95.9858177287529",663776
"520",458584,"FF","2015","first","95.0853733540907",544836
"521",458584,"FF","2016","first","95.3587408658598",458677
"522",543017,"FF","2016","first","95.8499430563141",596057
"523",570666,"FF","2016","first","96.7443068998223",676534
"524",570666,"FF","2017","first","98.1146649802532",676534
"525",570666,"FF","2018","first","95.998625862918",547179
"526",570666,"FF","2019","first","96.981875408353",547179
"527",570666,"FF","2021","first","96.3691661235302",429722
"528",570666,"FF","2022","first","96.3921412399782",572888
"529",468504,"FF","2016","first","96.2203457200854",543391
"530",468504,"FF","2017","first","96.9502638957813",642607
"531",468504,"FF","2018","first","97.4043085927011",571527
"532",468504,"FF","2019","first","96.9521504445952",571527
"533",468504,"FF","2021","first","96.4978283254494",444857
"534",605177,"FF","2015","first","96.4058605720774",543779
